,genre,keywords
0,기타,"방탄,화이팅,하룻밤,미달,인생,나름,방탄소년단,사랑,감동,눈물,아주,밤벌레,노출,이야기,아미,게이"
1,뮤지컬,"연기력,다시,뮤지컬,마음,노래,번개,최고,트릭,사람,눈물,계속,하이스쿨,명작,애니메이션,밴드,시도,외로,추억,스웨,디즈니,음악,엄마,감동,지금"
2,전쟁,"임권택,다시,이규형,톰크루즈,전쟁,미국,중학생,실화,시작,당시,최고,크루즈,사람,스페인,전설,르완다,로치,스타워즈,명작,시리즈,은행나무,예술,인간,역사,이야기,전쟁영화,혁명,근무,유대인,나름,한국,감동,아픔,시절,내전,재미,지금"
3,공연,"핑크,송가,노래,신화,주년,음악,인생,최고,사운드,가수,감동,콘서트,계속,공연,역시,블랙,서태지"
4,사극,"흑백,왜곡,다시,마지막,여균동,몰입,정해,브라,장면,가장,당시,최고,인생,사람,한글,만해,애로,스타일,상미,이해,은행나무,명작,코미디,정약전,역사왜곡,부모,액션,세종대왕,인간,재밋,역사,좀비,유대인,감동,재미,살의,지금,주인공"
5,판타지,"연기력,다시,감성,사랑,뮤지컬,블랙,마음,앤디,지브리,브래드피트,판타지,가장,자연,당시,나우시카,최고,인생,슈트,만화,눈물,제목,사람,판타스틱,배트맨,이해,시리즈,스타워즈,명작,우뢰매,애니메이션,박찬욱,시도,외로,추억,액션,인간,디즈니,한번,이야기,더빙,애니,토이스토리,기억,음악,동화,한국,로빈,추천,감동,베트맨,가족,시절,작화,유코,지금,샤말란,흥행,원작"
6,다큐멘터리,"다큐,신부,라스,할아버지,사랑,음식,몰입,어머니,주님,마음,여행,믿음,그리움,노래,정태춘,가장,힐링,인생,이의,최고,눈물,하나님,집사,사람,예은,시대,공감,죽음,쿠바,축구,아버지,희망,가수,편견,역사,그림,응원,부모님,이야기,장애,한인,스승,음악,가슴,엄마,마가렛,감동,정조,가족,할머니,청각장애,모습,아버님"
7,로맨스,"다시,감성,마지막,사랑,뮤지컬,멜로,블랙,눈빛,마음,감정,노래,브래드피트,니콜,최고,인생,트릭,크루즈,사람,눈물,계속,이해,홍콩,하이스쿨,박찬욱,명작,서로,밴드,로버츠,추억,스웨,로봇,시인,인간,키드,기억,음악,가슴,드라마,여운,감동,세상,시절,유코,지금,줄리아,깡패"
8,어드벤처,"우디,룰라,다시,픽사,아빠,마지막,장난감,공룡,지브리,비디오,판타지,니콜,과거,강아지,자연,인디아나,나우시카,마야,최고,인생,크루즈,드래곤,만화,사람,눈물,제목,모험,시리즈,명작,제시,애니메이션,타잔,추억,인간,디즈니,거위,키드,애니,에이미,존스,기억,모든,뮬란,구니스,로빈,감동,실사,시절,미래,지금"
9,범죄,"에드워드,증오,첩혈쌍웅,다시,연기력,강원도,톰크루즈,사랑,왤케,몰입,차이나타운,마틴,잭니콜슨,비디오,전성기,치노,사투리,인생,최고,크루즈,슈트,킬링타임,진의,스타,법정,집중,사이코패스,느와르,판타스틱,범죄,이해,소시오패스,홍콩,금성,조니뎁,공감,시리즈,영화인,명작,코미디,영웅본색,알파,조폭,액션,가수,추억,사건,역시,노튼,장첸,기대,펄롱,극장판,무술,한국,파치노,관객,나름,감동,타짜,폴리스,베트맨,재미,지금,리스,배트맨,현실,주인공"
10,미스터리,"소녀,번뇌,다시,해석,연기력,신인,마지막,사랑,소재,몰입,예산,삼류,한채영,마음,소름,명상,스티븐,대안,광주,시작,당시,대역,최고,인생,모습,기자,학교폭력,사람,군대,시대,주인공,반전,제대로,이해,전설,야누스,재미,개봉,에피소드,시리즈,명작,불교,공포,스릴,여배우,액션,인간,공포영화,식스센스,형구,욕망,역사,이야기,번민,첩보,호러,결말,귀신,나름,추천,감동,그녀,시절,라이브,노병,신성일,괴담,지금,여고괴담,스릴러,현실,원작"
11,애니메이션,"우디,라퓨타,다시,사랑,장난감,보기,마음,요리,야수,올해,뽀로로,공룡,노래,장면,지브리,자연,나우시카,순간,최고,인생,집중,스타,애기,티비,스크린,시리즈,아들,명작,제시,애니메이션,어른,윌벤져스,반지,타잔,카드,역시,디즈니,라따뚜이,인간,목적,하울,애니,또봇,극장판,의미,한국,엄마,추천,감동,샤이닝,스톰,가족,까투리"
12,코미디,"다시,마지막,사랑,뮤지컬,마음,요리,앤디,노래,과거,최고,인생,국가대표,눈물,계속,미래,모험,하이스쿨,우정,명작,코미디,로버츠,추억,시인,라따뚜이,친구,토이스토리,기억,소년,음악,여운,구니스,추천,엄마,감동,가족,시절,할머니,재미,지금,줄리아,깡패"
13,서부극(웨스턴),"니콜,다시,크루즈,시절,키드"
14,액션,"드니,첩혈쌍웅,다시,톰크루즈,케이,에어,산악,공룡,과거,전성기,인디아나,인생,최고,크루즈,걸작,국가대표,느와르,공원,타워,홍콩,로버트,개봉,시리즈,명작,코미디,영웅본색,내내,쥬라기,액션,추억,코믹,재난,재난영화,함장,잠수함,스필버그,존스,음악,로빈,감동,폴리스,트리오,미래,아마겟돈,지금"
15,SF,"다시,마지막,사랑,마음,터미네이터,괴물,공룡,박수,지브리,과거,가장,현실,자연,시작,나우시카,당시,최고,인생,사람,공원,꿀잼,이해,전설,시리즈,스타워즈,명작,박찬욱,애니메이션,한국영,쥬라기,액션,로봇,디즈니,인간,이영화,프리퀄,더빙,스필버그,애니,년도,매트릭스,한국,아나킨,감동,그래픽,작화,시절,미래,아마겟돈,지금,흥행"
16,공포(호러),"베트남,소녀,연기력,다시,토로,마지막,늑대인간,소재,예산,보기,한채영,마음,소름,장면,당시,디아,최고,옴니버스,킬링타임,학교폭력,복수,시대,주인공,반전,제대로,에피소드,시리즈,한국영,몰입도,공포,스릴,분위기,코믹,웹툰,공포영화,식스센스,착신아리,임산부,츠카사,이야기,고양이,호러,기대,년도,결말,때문,귀신,마무리,나름,엄마,감동,그래픽,시절,여고괴담,라이브,괴담,원작"
17,드라마,"코치,사실,지우,다시,로렌,보리,흑인,할아버지,사랑,음식,어머니,마음,소름,요리,그리움,노래,장면,가장,최고,인생,매미,사람,눈물,초원,마라톤,진도,반전,스포츠,공감,윌리엄스,명작,시래기,애니메이션,밴드,어른,부모,추억,편견,로봇,디즈니,라따뚜이,식스센스,인간,이야기,소리,친구,결말,음악,가슴,로빈,엄마,가족영화,감동,가족,자식,현실,자폐"
18,가족,"우디,주인,다시,보리,사랑,뮤지컬,장난감,몰입,어머니,하치,마음,펑펑,요리,야수,올해,앤디,뽀로로,노래,장면,판타지,강아지,최고,인생,매미,눈물,계속,모험,진도,공감,윌리엄스,하이스쿨,명작,시래기,애니메이션,제시,모세,타잔,역시,디즈니,라따뚜이,거위,부모님,이야기,소리,에이미,토이스토리,극장판,기억,가슴,구니스,로빈,엄마,추천,감동,가족,지금"
19,스릴러,"첩혈쌍웅,다시,개인,톰크루즈,마지막,소재,몰입,케이,마크,소름,에어,포드,산악,잭니콜슨,토니,라이언,바다,스콧,치노,실화,최고,인생,크루즈,법정,모험,살인,느와르,팔로,반전,이해,타워,홍콩,개봉,조니뎁,시리즈,명작,공포,영웅본색,알파,긴장감,매력,액션,추억,액션영화,층간소음,인간,창희,식스센스,재난,재난영화,상황,첩보,결말,기억,구니스,파치노,해방일,추천,도망자,감동,지금,봉준호,스릴러"
